id;violation_time;location;status;evidence_image;created_at
1;2024-11-16;geez omelet;furthermore heavenly hm;yahoo;2024-11-17
2;2024-11-17;righteously disgorge spectacles;colorfully;tomorrow tapioca psst;2024-11-16
3;2024-11-17;the decryption utterly;bitterly cassava;too;2024-11-16
4;2024-11-17;which dim forearm;topsail;sarcastic knavishly along;2024-11-17
5;2024-11-16;once;psst stark;past teammate;2024-11-17
6;2024-11-16;premier yowza;failing memorise;while youthfully mortally;2024-11-17
7;2024-11-17;satisfy;yet quick;thyme;2024-11-17
8;2024-11-17;yet alongside eggplant;before really;whoever;2024-11-17
9;2024-11-17;interesting airmail;bah;obnoxiously ew truly;2024-11-16
10;2024-11-17;whereas hot thoroughly;whoever;hungrily deeply concerned;2024-11-17
